feature,importance
neighborhood_price_std,14.421799672622523
neighborhood_price_mean,12.915010756779388
neighborhood_price_median,11.177247230769899
grade,10.84260839502377
sqft_living,7.341398445832607
total_sqft,7.288927066644379
house_age,5.052309539022879
is_luxury,4.535301907077836
space_efficiency,4.251295480232746
sqft_above,4.105593275232539
sqft_basement,3.7295682236822754
bathrooms,3.647035025648939
years_since_reno,3.3636278664659884
bath_bed_ratio,2.375992561919555
condition,1.4454510559348472
bedrooms,1.1595474297523072
floors,1.1494653133273158
has_been_renovated,0.975885815608048
has_basement,0.22193493842216375
