Experiment_ID,Validation_scaled_MSE,Test_scaled_MSE,GNN_model_type,radius1,radius1_k,radius2,radius2_k,radius3_k
exp_2025-09-19_00-05-35,0.000725844,0.000649094,GraphSAGE,2,30,10,30,30
exp_2025-09-19_00-14-46,0.000785548,0.000687565,GraphSAGE,5,0,20,100,0
exp_2025-09-19_00-23-27,0.000702814,0.00061562,GraphSAGE,3,30,12,30,30
exp_2025-09-19_00-32-50,0.000741284,0.000651035,GraphSAGE,10,20,30,20,20
exp_2025-09-19_00-42-12,0.000741261,0.000651007,GraphSAGE,10,80,30,10,10
exp_2025-09-19_00-51-39,0.000721515,0.000617934,GraphSAGE,5,30,20,30,30
exp_2025-09-19_01-01-12,0.000721515,0.000617934,GraphSAGE,5,50,20,20,10
exp_2025-09-19_01-10-37,0.000725844,0.000649094,GraphSAGE,2,40,10,20,10
exp_2025-09-19_01-19-55,0.000721515,0.000617934,GraphSAGE,5,10,20,30,10
exp_2025-09-19_01-29-23,0.000811725,0.000688885,GraphSAGE,5,100,0,20,0
exp_2025-09-19_10-05-22,0.001569171,0.001298711,SimpleGAT,5,50,20,20,10
exp_2025-09-19_10-14-42,0.001417586,0.00122211,SimpleGAT,3,30,12,30,30
exp_2025-09-19_10-23-54,0.001487863,0.001362167,SimpleGAT,2,30,10,30,30
exp_2025-09-19_10-33-12,0.002480542,0.002289526,SimpleGCN,5,50,20,20,10
exp_2025-09-19_10-42-40,0.002430471,0.002234074,SimpleGCN,3,30,12,30,30
exp_2025-09-19_10-52-04,0.002329271,0.002173086,SimpleGCN,2,30,10,30,30
exp_2025-09-19_11-11-39,0.002488743,0.002296665,SimpleGCN,5,50,20,20,10
exp_2025-09-19_11-19-58,0.002428669,0.002231503,SimpleGCN,3,30,12,30,30
exp_2025-09-19_11-28-14,0.00233243,0.00217588,SimpleGCN,2,30,10,30,30
exp_2025-09-19_11-36-30,0.001305433,0.001158469,MultiLayerGCN,2,30,10,30,30
exp_2025-09-19_12-04-06,0.001421351,0.001137715,MultiLayerGCN,5,50,20,20,10
exp_2025-09-19_12-13-26,0.001275128,0.001230525,MultiLayerGCN,3,30,12,30,30
catboost_exp_2025-09-19_00-00-33,0.000279839,0.000346836,CatBoost,,,,,
exp_2025-09-18_10-29-33,0.00068453,0.000586929,GraphSAGE - closet,,,,,
